No,Hospital_Name,State_Code,State,Membership_Tier,Hospital_Type,Accreditation,Languages_Spoken,International_Patient_Services,Website_URL,specialist,Latitude,Longitude
69,Putra Specialist Hospital (Melaka),MK,Melaka,Ordinary Member,,,,,https://putrahospitalmelaka.com/,,2.2018659,102.2526332
70,Regency Specialist Hospital,JH,Johor,Elite Membership,,,,,https://www.regencyspecialist.com/,,1.4980652,103.8726088
71,Sri Kota Specialist Medical Centre,SEL,Selangor,Ordinary Member,,,,,https://srikotamedical.com/,,3.0402437,101.445625
72,Star Fertility Centre,PN,Penang,Ordinary Member,,,,,https://starfertility.life/,,5.3865677,100.3036611
73,Subang Jaya Medical Centre,SEL,Selangor,Elite Membership,,,,,https://subangjayamedicalcentre.com/,,3.0796503,101.5940275
74,Sunfert @ Bangsar South,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.sunfert.com/clinics/sunfert-bangsar-south,,3.109766,101.665798
75,Sunway Fertility Centre @ Kuching,SW,Sarawak,Ordinary Member,,,,,https://sunwayfertility.com.my/sunway-fertility-centre-kuching/,,1.4993332,110.3717756
76,Sunway Fertility Centre @ Sunway City,SEL,Selangor,Ordinary Member,,,,,https://sunwayfertility.com.my/,,3.0658578,101.609476
77,Sunway Fertility Centre @ Velocity,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://sunwayfertility.com.my/,,3.1278119,101.7225236
78,Sunway Medical Centre,SEL,Selangor,Elite Membership,,,,,https://www.sunwaymedical.com/,,3.0658578,101.609476
79,Sunway Medical Centre Damansara,SEL,Selangor,Ordinary Member,,,,,https://www.sunwaymedicaldamansara.com.my/en/,,3.1499502,101.5959789
80,Sunway Medical Centre Ipoh,PR,Perak,Ordinary Member,,,,,https://www.sunwaymedicalipoh.com.my/,,4.6316601,101.1543453
81,Sunway Medical Centre Penang,PN,Penang,Elite Membership,,,,,https://www.sunwaymedicalpenang.com.my/,Cancer Centre,5.3955597,100.3969392
81,Sunway Medical Centre Penang,PN,Penang,Elite Membership,,,,,https://www.sunwaymedicalpenang.com.my/,Women & Children's Centre,5.3955597,100.3969392
81,Sunway Medical Centre Penang,PN,Penang,Elite Membership,,,,,https://www.sunwaymedicalpenang.com.my/,Digestive Health Centre,5.3955597,100.3969392
81,Sunway Medical Centre Penang,PN,Penang,Elite Membership,,,,,https://www.sunwaymedicalpenang.com.my/,Heart & Lung Centre,5.3955597,100.3969392
81,Sunway Medical Centre Penang,PN,Penang,Elite Membership,,,,,https://www.sunwaymedicalpenang.com.my/,Stroke Centre,5.3955597,100.3969392
82,Sunway Medical Centre Velocity,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.sunwaymedicalvelocity.com.my/en/,,3.1280154,101.7224083
83,TAGS Rehabilication & Chiropractic Penang,PN,Penang,Associate Member,,,,,https://tags.my/tags-penang/,,5.3844235,100.3054263
84,Tawakkal Specialist Hospital,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://kpjhealth.com.my/tawakkal,,3.1769514,101.6986424
85,Thomson Hospital Kota Damansara,SEL,Selangor,Elite Membership,,,,,https://www.thomsonhospitals.com/,,3.1489199,101.5789458
86,Topvision Eye Specialist Centre,SEL,Selangor,Ordinary Member,,,,,https://www.tvesc.com,Cataract Surgery,3.1075755,101.4468324
