osm_id,attraction_name,category,raw_osm_tag,lat,lon,distance_km,query_type,reference_point,reference_state
node/9006696462,Bukit Tok Johol,Mountain / Peak,natural=peak,5.17884,103.1422153,17.34,rural_region,Terengganu,Terengganu
node/9007541473,Bukit Jerat Samata,Mountain / Peak,natural=peak,5.1691273,103.1482905,17.55,rural_region,Terengganu,Terengganu
node/9007639374,Bukit Makar,Mountain / Peak,natural=peak,4.7131159,103.1530836,47.65,rural_region,Terengganu,Terengganu
node/9007643776,Bukit Betong,Mountain / Peak,natural=peak,4.7771399,103.1460321,40.76,rural_region,Terengganu,Terengganu
node/9007643777,Batu Tiga,Mountain / Peak,natural=peak,4.7682338,103.1518847,41.93,rural_region,Terengganu,Terengganu
node/9007651515,Bukit Bunut,Mountain / Peak,natural=peak,5.1598965,103.1513013,17.53,rural_region,Terengganu,Terengganu
node/9010551254,Bukit Batu Besi,Mountain / Peak,natural=peak,4.7669408,103.1661549,42.72,rural_region,Terengganu,Terengganu
node/9010561970,Bukit Bading,Mountain / Peak,natural=peak,5.0014224,103.1669319,22.3,rural_region,Terengganu,Terengganu
node/9053975413,Bukit Anak Ring,Mountain / Peak,natural=peak,5.2210103,103.1687538,22.18,rural_region,Terengganu,Terengganu
node/9053988153,Bukit Panji,Mountain / Peak,natural=peak,5.2534813,103.1678572,24.24,rural_region,Terengganu,Terengganu
node/9054125530,Bukit Seri,Mountain / Peak,natural=peak,5.0599849,103.1810348,20.92,rural_region,Terengganu,Terengganu
node/9054379783,Bukit Jetik,Mountain / Peak,natural=peak,5.0792946,103.1843299,20.77,rural_region,Terengganu,Terengganu
node/9054397454,Bukit Chendering,Mountain / Peak,natural=peak,5.2668631,103.1854494,26.69,rural_region,Terengganu,Terengganu
node/9056670903,Bukit Macang,Mountain / Peak,natural=peak,5.1549959,103.1950307,22.08,rural_region,Terengganu,Terengganu
node/9060616066,Bukit Kuing,Mountain / Peak,natural=peak,5.1477886,103.2035708,22.86,rural_region,Terengganu,Terengganu
node/9061674257,Bukit Che Sharif,Mountain / Peak,natural=peak,5.0830682,103.2083237,23.32,rural_region,Terengganu,Terengganu
node/9061982969,Bukit Buluh Nipis,Mountain / Peak,natural=peak,5.070041,103.2192725,24.76,rural_region,Terengganu,Terengganu
node/9066964122,Bukit Tekan Lutut,Mountain / Peak,natural=peak,4.998681,103.2255971,28.07,rural_region,Terengganu,Terengganu
node/9071091060,Bukit Tok Lima,Mountain / Peak,natural=peak,4.9649219,103.2346362,30.8,rural_region,Terengganu,Terengganu
node/9071131495,Bukit Padang Lalang,Mountain / Peak,natural=peak,5.0603106,103.2317716,26.35,rural_region,Terengganu,Terengganu
node/9084087261,Bukit Jejulung,Mountain / Peak,natural=peak,4.9955707,103.2730937,32.97,rural_region,Terengganu,Terengganu
node/9084100557,Bukit Serating,Mountain / Peak,natural=peak,5.0577831,103.2794773,31.57,rural_region,Terengganu,Terengganu
node/9088698457,Bukit Pintu Gerbang,Mountain / Peak,natural=peak,5.0503048,103.2839647,32.23,rural_region,Terengganu,Terengganu
